House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
21,Orry Row,Paul,Lewis-Brown,31,Son,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
22,Orry Row,Derek,Russell,83,Head,Married,Male,"Retired Scientist, research (physical sciences)",None,None
22,Orry Row,Shirley,Russell,85,Wife,Married,Female,Retired IT sales professional,None,None
23,Orry Row,Andrea,Tyler,74,Head,Widowed,Female,Retired Operations geologist,None,Christian
24,Orry Row,Lewis,Reed,29,Head,Divorced,Male,Materials engineer,None,Christian
25,Orry Row,Joyce,Ball,72,Head,Widowed,Female,Retired Mental health nurse,None,Christian
26,Orry Row,Robert,Duncan,66,Head,Widowed,Male,Art therapist,None,Methodist
26,Orry Row,Clive,Davies,7,Grandson,NA,Male,Student,None,NA
27,Orry Row,Sharon,Wallis,73,Head,Widowed,Female,Retired Herpetologist,None,Christian
28,Orry Row,Gerald,Bennett,32,Head,Divorced,Male,Unemployed,None,Catholic
28,Orry Row,Rosie,King,56,Lodger,Divorced,Female,"Radiographer, diagnostic",None,Catholic
29,Orry Row,Harry,Burton,37,Head,Single,Male,Health physicist,None,None
30,Orry Row,Gail,Hill,22,Head,Single,Female,University Student,None,None
31,Orry Row,Marcus,Davey,72,Head,Widowed,Male,Retired Astronomer,None,Christian
32,Orry Row,Scott,Williams,54,Head,Single,Male,Chief Financial Officer,None,Christian
33,Orry Row,Russell,Nixon,39,Head,Single,Male,Clothing/textile technologist,None,None
34,Orry Row,Ashleigh,Thompson,65,Head,Widowed,Female,"Research officer, government",None,Christian
35,Orry Row,Marcus,Burgess,57,Head,Single,Male,Claims inspector/assessor,None,Christian
36,Orry Row,Jane,Bird,41,Head,Single,Female,"Psychologist, forensic",None,None
36,Orry Row,Amber,Bird,21,Daughter,Divorced,Female,University Student,None,None
37,Orry Row,Zoe,Tucker,52,Head,Single,Female,Unemployed,None,Muslim
37,Orry Row,Russell,Stanley,48,Partner,Single,Male,"Scientist, research (medical)",None,None
38,Orry Row,Conor,Mitchell,67,Head,Widowed,Male,Print production planner,None,Christian
39,Orry Row,Ruth,Shaw,43,Head,Single,Female,Unemployed,None,None
39,Orry Row,Samuel,Taylor,41,Partner,Single,Male,Physiotherapist,None,None
40,Orry Row,Joan,Saunders,34,Head,Single,Female,"Accountant, chartered public finance",None,None
40,Orry Row,Patrick,Smith,38,Partner,Single,Male,Recycling officer,None,None
41,Orry Row,Zoe,Houghton,44,Head,Divorced,Female,Unemployed,None,None
41,Orry Row,Denise,Houghton,18,Daughter,Single,Female,Student,None,None
41,Orry Row,Glenn,Houghton,16,Son,NA,Male,Student,None,NA
42,Orry Row,Jenna,Marsh,60,Head,Married,Female,Occupational therapist,None,Catholic
42,Orry Row,Joel,Marsh,58,Husband,Married,Male,Unemployed,None,Catholic
43,Orry Row,Jade,Harvey,74,Head,Widowed,Female,"Retired Designer, multimedia",None,None
43,Orry Row,Hilary,Harvey,15,Granddaughter,NA,Female,Student,None,NA
43,Orry Row,Norman,Anderson,11,Grandson,NA,Male,Student,None,NA
43,Orry Row,Suzanne,Marsh,5,Granddaughter,NA,Female,Student,None,NA
44,Orry Row,Arthur,Williams,79,Head,Married,Male,Retired Consulting civil engineer,None,None
44,Orry Row,Stacey,Williams,73,Wife,Married,Female,Retired Therapeutic radiographer,None,None
45,Orry Row,Lynne,Smith,60,Head,Married,Female,Public relations officer,None,Catholic
45,Orry Row,Eric,Smith,62,Husband,Married,Male,Dentist,None,Catholic
46,Orry Row,Annette,Wilson,71,Head,Widowed,Female,"Retired Solicitor, Scotland",None,Christian
47,Orry Row,Wayne,Jennings,51,Head,Single,Male,Educational psychologist,None,Methodist
48,Orry Row,Natalie,Walton,36,Head,Single,Female,"Therapist, horticultural",None,Christian
48,Orry Row,Cameron,Walton,5,Son,NA,Male,Student,None,NA
49,Orry Row,Sian,Sykes,73,Head,Widowed,Female,Retired Chartered legal executive (England and Wales),None,Catholic
50,Orry Row,Kerry,Little,34,Head,Single,Female,Unemployed,None,Catholic
50,Orry Row,Joshua,Stokes,38,Partner,Single,Male,Unemployed,None,None
50,Orry Row,Mohammad,Little,2,Son,NA,Male,Child,None,NA
51,Orry Row,Joyce,Thomas,70,Head,Married,Female,Retired Adult nurse,None,Methodist
51,Orry Row,Iain,Thomas,71,Husband,Married,Male,"Retired Civil engineer, consulting",None,None
52,Orry Row,Douglas,Hanson,31,Head,Divorced,Male,Logistics and distribution manager,None,Christian
53,Orry Row,Sophie,Cole,52,Head,Married,Female,Air broker,None,Christian
53,Orry Row,Leonard,Cole,54,Husband,Married,Male,"Engineer, technical sales",None,None
54,Orry Row,Holly,Wood,51,Head,Divorced,Female,Multimedia specialist,None,Christian
55,Orry Row,Hugh,Adams,47,Head,Single,Male,IT trainer,None,None
1,Ford Throughway,Valerie,Clark,34,Head,Divorced,Female,Podiatrist,None,Methodist
1,Ford Throughway,Victoria,Clark,7,Daughter,NA,Female,Student,None,NA
2,Ford Throughway,Ashleigh,Thomas,51,Head,Single,Female,Animal nutritionist,None,Catholic
2,Ford Throughway,Maria,Nicholson,20,None,Single,Female,University Student,None,None
2,Ford Throughway,Bruce,Williams,62,None,Single,Male,Unemployed,None,Catholic
2,Ford Throughway,Kim,Parry,22,None,Single,Female,University Student,None,Christian
2,Ford Throughway,Joe,Graham,61,None,Single,Male,Armed forces operational officer,None,Methodist
3,Ford Throughway,Melissa,Butler,27,Head,Married,Female,Restaurant manager,None,None
3,Ford Throughway,Joshua,Butler,32,Husband,Married,Male,"Surveyor, building",None,None
3,Ford Throughway,Tracy,Butler,4,Daughter,NA,Female,Child,None,NA
3,Ford Throughway,Fiona,Butler,0,Daughter,NA,Female,Child,None,NA
4,Ford Throughway,Mohammed,Akhtar,38,Head,Single,Male,Equities trader,None,Christian
4,Ford Throughway,Lindsey,Khan,43,None,Single,Female,Government social research officer,None,None
4,Ford Throughway,Lynda,Barber,60,None,Single,Female,"Chemist, analytical",None,Christian
4,Ford Throughway,Lucy,Mills,62,None,Single,Female,Sports administrator,None,Christian
4,Ford Throughway,Roy,Harvey,63,None,Single,Male,"Psychologist, forensic",None,Christian
5,Ford Throughway,Laura,Butcher,58,Head,Married,Female,Cabin crew,None,None
5,Ford Throughway,Aaron,Butcher,58,Husband,Married,Male,Customer service manager,None,None
5,Ford Throughway,Max,Butcher,29,Adopted Son,Single,Male,"Nurse, adult",None,None
5,Ford Throughway,Samantha,Butcher,25,Daughter,Single,Female,Horticultural therapist,None,None
6,Ford Throughway,Nicholas,Williams,86,Head,Married,Male,Retired Financial trader,None,Christian
6,Ford Throughway,Lucy,Williams,87,Wife,Married,Female,"Retired Producer, television/film/video",None,Christian
7,Ford Throughway,Maria,Harper,53,Head,Married,Female,Mental health nurse,None,Christian
7,Ford Throughway,Stanley,Harper,56,Husband,Married,Male,Sales executive,None,Christian
7,Ford Throughway,Teresa,Harper,27,Daughter,Single,Female,"Librarian, public",None,None
7,Ford Throughway,Shane,Harper,4,Son,NA,Male,Child,None,NA
8,Ford Throughway,Reece,Pearson,18,Head,Single,Male,University Student,None,Methodist
8,Ford Throughway,Michael,James,19,None,Single,Male,University Student,None,None
8,Ford Throughway,Oliver,Perry,19,None,Single,Male,University Student,None,Christian
8,Ford Throughway,Mohammad,Baker,19,None,Single,Male,University Student,None,Muslim
9,Ford Throughway,Kim,Davies,83,Head,Divorced,Female,Retired Building services engineer,None,Catholic
10,Ford Throughway,Christian,Patterson,49,Head,Single,Male,Human resources officer,None,Catholic
10,Ford Throughway,Natalie,Bell,49,None,Single,Female,"Teacher, early years/pre",None,None
10,Ford Throughway,Georgia,Simmons,29,None,Single,Female,Exercise physiologist,None,Methodist
10,Ford Throughway,Leon,Bell,46,None,Single,Male,"Surveyor, insurance",None,None
11,Ford Throughway,Geraldine,Stone,36,Head,Single,Female,Customer service manager,None,Christian
11,Ford Throughway,Justin,Short,22,None,Single,Male,University Student,None,Catholic
11,Ford Throughway,James,Norton,39,None,Single,Male,"Therapist, speech and language",None,Christian
12,Ford Throughway,Gary,Little,73,Head,Married,Male,Retired Adult guidance worker,None,Methodist
12,Ford Throughway,Alice,Gilbert,71,Wife,Married,Female,Retired Charity fundraiser,None,None
12,Ford Throughway,Stacey,Scott,21,Granddaughter,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
12,Ford Throughway,Carl,Griffiths,21,Grandson,Divorced,Male,University Student,None,Methodist
12,Ford Throughway,Clifford,Patel,20,Grandson,Divorced,Male,University Student,None,None
12,Ford Throughway,Luke,Page,20,Grandson,Divorced,Male,University Student,None,Methodist
13,Ford Throughway,Douglas,Higgins,58,Head,Married,Male,Unemployed,None,Catholic
13,Ford Throughway,Sara,Higgins,59,Wife,Married,Female,"Surveyor, hydrographic",None,Catholic
13,Ford Throughway,Pauline,Higgins,13,Granddaughter,NA,Female,Student,None,NA
13,Ford Throughway,Alice,Brown,10,Granddaughter,NA,Female,Student,None,NA
14,Ford Throughway,Annette,Jones,53,Head,Single,Female,Chief Executive Officer,None,None
14,Ford Throughway,Ian,Hopkins,38,None,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
14,Ford Throughway,Wendy,Kaur,23,None,Single,Female,Accommodation manager,None,Methodist
15,Ford Throughway,Gail,Richardson,75,Head,Divorced,Female,Unemployed,None,Methodist
15,Ford Throughway,Bethan,Richardson,43,Daughter,Divorced,Female,"Surveyor, minerals",None,Methodist
15,Ford Throughway,Carolyn,Matthews-Richardson,39,Daughter,Single,Female,Systems analyst,None,Methodist
15,Ford Throughway,Sara,Matthews-Richardson,35,Daughter,Single,Female,Event organiser,None,Methodist
16,Ford Throughway,Carolyn,Joyce,25,Head,Married,Female,Amenity horticulturist,Unknown Infection,None
16,Ford Throughway,Abdul,Joyce,25,Husband,Married,Male,Education administrator,None,None
16,Ford Throughway,Bruce,Joyce,6,Son,NA,Male,Student,None,NA
16,Ford Throughway,Brandon,Joyce,5,Son,NA,Male,Student,None,NA
17,Ford Throughway,Molly,Parry,78,Head,Widowed,Female,Unemployed,None,Christian
17,Ford Throughway,Debra,Parry,42,Daughter,Single,Female,Television floor manager,None,Christian
17,Ford Throughway,Mohamed,Parry,40,Son,Divorced,Male,Police officer,None,None
17,Ford Throughway,Hayley,Parry,32,Daughter,Single,Female,Trading standards officer,None,Christian
18,Ford Throughway,Annette,Power,46,Head,Married,Female,Unemployed,None,Catholic
18,Ford Throughway,Bruce,Power,48,Husband,Married,Male,Chartered certified accountant,None,None
18,Ford Throughway,Tom,Power,16,Son,NA,Male,Student,None,NA
19,Ford Throughway,Maria,Jones,63,Head,Single,Female,IT technical support officer,None,Christian
20,Ford Throughway,Kim,Knowles,45,Head,Married,Female,Hydrographic surveyor,None,Christian
20,Ford Throughway,Neil,Knowles,45,Husband,Married,Male,Community development worker,None,Catholic
20,Ford Throughway,Antony,Knowles,9,Son,NA,Male,Student,None,NA
21,Ford Throughway,Emily,Knight,62,Head,Married,Female,Energy engineer,None,Christian
21,Ford Throughway,Allan,Knight,68,Husband,Married,Male,Retired Proofreader,None,Christian
21,Ford Throughway,Karl,Knight,27,Son,Single,Male,Information systems manager,None,Christian
21,Ford Throughway,Roger,Knight,25,Son,Divorced,Male,Tree surgeon,None,None
21,Ford Throughway,Terry,Knight,21,Son,Single,Male,University Student,None,Christian
22,Ford Throughway,Martin,Moss,41,Head,Married,Male,Child psychotherapist,None,Catholic
22,Ford Throughway,Jean,Moss,36,Wife,Married,Female,Estate agent,None,None
22,Ford Throughway,Aaron,Moss,5,Son,NA,Male,Student,None,NA
22,Ford Throughway,Joel,Moss,2,Son,NA,Male,Child,None,NA
23,Ford Throughway,Margaret,Fowler,49,Head,Married,Female,Research scientist (medical),None,None
23,Ford Throughway,Martin,Fowler,51,Husband,Married,Male,Garment/textile technologist,None,None
23,Ford Throughway,Diane,Fowler,16,Daughter,NA,Female,Student,None,NA
23,Ford Throughway,Andrew,Fowler,14,Son,NA,Male,Student,None,NA
24,Ford Throughway,Jeremy,Baker,58,Head,Married,Male,Computer games developer,None,Methodist
24,Ford Throughway,Charlene,Baker,53,Wife,Married,Female,Operational investment banker,None,Methodist
24,Ford Throughway,Jacob,Walker,2,Grandson,NA,Male,Child,None,NA
24,Ford Throughway,Irene,Francis,26,Lodger,Single,Female,Unemployed,None,None
25,Ford Throughway,Paula,Collins,44,Head,Divorced,Female,Unemployed,None,Catholic
25,Ford Throughway,Christine,Collins,11,Daughter,NA,Female,Student,None,NA
25,Ford Throughway,Marion,Collins,10,Daughter,NA,Female,Student,None,NA
25,Ford Throughway,Lawrence,Collins,9,Son,NA,Male,Student,None,NA
25,Ford Throughway,Chelsea,Collins,4,Daughter,NA,Female,Child,None,NA
25,Ford Throughway,Aimee,Collins,0,Daughter,NA,Female,Child,None,NA
26,Ford Throughway,Olivia,Edwards-Hart,50,Head,Married,Female,Barrister's clerk,None,None
26,Ford Throughway,Donald,Edwards-Hart,45,Husband,Married,Male,"Engineer, electrical",None,None
26,Ford Throughway,Charlene,Edwards-Hart,21,Daughter,Single,Female,University Student,None,None
26,Ford Throughway,Duncan,Edwards-Hart,8,Son,NA,Male,Student,None,NA
27,Ford Throughway,Georgia,Johnson,64,Head,Married,Female,Health and safety inspector,None,None
27,Ford Throughway,Martyn,Johnson,64,Husband,Married,Male,Therapeutic radiographer,None,None
27,Ford Throughway,Simon,Johnson,31,Son,Single,Male,"Biochemist, clinical",None,None
27,Ford Throughway,Eric,Johnson,27,Son,Single,Male,Company secretary,None,None
28,Ford Throughway,Tracey,Moore,44,Head,Single,Female,Geochemist,None,Christian
28,Ford Throughway,Dennis,Edwards,46,Partner,Single,Male,Theatre manager,None,None
28,Ford Throughway,Victor,Moore,19,Son,Divorced,Male,University Student,None,None
28,Ford Throughway,Gregory,Moore,17,Son,NA,Male,Student,None,NA
28,Ford Throughway,Stacey,Moore,13,Daughter,NA,Female,Student,None,NA
29,Ford Throughway,Jessica,Gibson,60,Head,Married,Female,Psychiatric nurse,None,None
29,Ford Throughway,Anthony,Gibson,59,Husband,Married,Male,"Designer, graphic",None,None
29,Ford Throughway,Robert,Gibson,21,Son,Single,Male,University Student,None,None
29,Ford Throughway,Kate,Gibson,20,Daughter,Single,Female,University Student,None,None
29,Ford Throughway,Harriet,Gibson,13,Daughter,NA,Female,Student,None,NA
30,Ford Throughway,Hayley,Riley,54,Head,Married,Female,Minerals surveyor,None,None
30,Ford Throughway,Jamie,Riley,53,Husband,Married,Male,Commissioning editor,None,None
30,Ford Throughway,Mohammad,Fowler-Riley,19,Son,Single,Male,University Student,None,None
30,Ford Throughway,Jeffrey,Fowler-Riley,18,Son,Single,Male,Student,None,None
30,Ford Throughway,Arthur,Fowler-Riley,16,Son,NA,Male,Student,None,NA
30,Ford Throughway,Joseph,Cook-Fowler-Riley,12,Son,NA,Male,Student,None,NA
31,Ford Throughway,Molly,Connolly,46,Head,Single,Female,"Surveyor, rural practice",None,Catholic
31,Ford Throughway,John,Saunders,48,Partner,Single,Male,Marketing executive,None,None
31,Ford Throughway,Nigel,Connolly,14,Son,NA,Male,Student,None,NA
31,Ford Throughway,Hayley,Connolly,11,Daughter,NA,Female,Student,None,NA
31,Ford Throughway,Adam,Connolly,4,Son,NA,Male,Child,None,NA
31,Ford Throughway,Shirley,Connolly,0,Daughter,NA,Female,Child,None,NA
32,Ford Throughway,Gerard,Matthews,50,Head,Single,Male,"Engineer, aeronautical",None,Christian
33,Ford Throughway,Marion,Young,79,Head,Widowed,Female,Retired Fitness centre manager,None,Christian
34,Ford Throughway,Vincent,Harper,55,Head,Single,Male,Systems analyst,None,None
34,Ford Throughway,Brian,Stone,61,None,Single,Male,Unemployed,None,Methodist
34,Ford Throughway,Jacob,Barrett,63,None,Single,Male,"Editor, commissioning",None,None
34,Ford Throughway,Sara,Fuller,29,None,Single,Female,Tax inspector,None,Catholic
35,Ford Throughway,Megan,Holden,44,Head,Single,Female,"Psychologist, sport and exercise",None,Methodist
35,Ford Throughway,Alan,Oliver,48,None,Single,Male,Interior and spatial designer,None,Catholic
35,Ford Throughway,Nicole,Humphries,46,None,Single,Female,Mechanical engineer,None,None
35,Ford Throughway,Darren,Nicholls,48,None,Single,Male,"Engineer, chemical",None,None
36,Ford Throughway,Kathleen,Ross,34,Head,Single,Female,Interior and spatial designer,None,Catholic
36,Ford Throughway,Norman,Hilton,35,Partner,Single,Male,Lawyer,None,Catholic
36,Ford Throughway,Amanda,Ross,7,Daughter,NA,Female,Student,None,NA
36,Ford Throughway,Shannon,Ross,3,Daughter,NA,Female,Child,None,NA
37,Ford Throughway,Vanessa,King,31,Head,Single,Female,Unemployed,None,None
37,Ford Throughway,Molly,King,3,Daughter,NA,Female,Child,None,NA
38,Ford Throughway,Gillian,Mitchell,50,Head,Single,Female,Product/process development scientist,None,None
38,Ford Throughway,Andrew,Chambers,52,Partner,Single,Male,Games developer,None,None
38,Ford Throughway,Harriet,Mitchell,20,Daughter,Single,Female,University Student,None,None
38,Ford Throughway,Kathleen,Mitchell,12,Daughter,NA,Female,Student,None,NA
39,Ford Throughway,Pauline,Mills,26,Head,Single,Female,Unemployed,None,Methodist
39,Ford Throughway,Diane,Stanley,38,None,Single,Female,Furniture designer,None,Christian
39,Ford Throughway,Tom,Kelly,42,None,Single,Male,Furniture conservator/restorer,None,Christian
40,Ford Throughway,Ellie,Nash,45,Head,Married,Female,Commercial art gallery manager,None,Methodist
40,Ford Throughway,Josh,Nash,47,Husband,Married,Male,Air cabin crew,None,Methodist
40,Ford Throughway,Tony,Cross,35,None,Married,Male,"Scientist, water quality",Blind,Catholic
40,Ford Throughway,Karen,Cross,33,None,Married,Female,"Accountant, chartered certified",None,None
41,Ford Throughway,John,Arnold,34,Head,Married,Male,General practice doctor,None,Muslim
41,Ford Throughway,Amy,Arnold,31,Wife,Married,Female,Copy,None,Muslim
41,Ford Throughway,Alex,Arnold,2,Son,NA,Male,Child,None,NA
41,Ford Throughway,Darren,Edwards,51,Sibling,Single,Male,Archivist,None,None
42,Ford Throughway,Beth,Pearson,52,Head,Single,Female,Emergency planning/management officer,None,Christian
42,Ford Throughway,Brett,Brown,57,Partner,Single,Male,"Administrator, sports",None,Christian
42,Ford Throughway,Stephen,Pearson,13,Son,NA,Male,Student,None,NA
42,Ford Throughway,Donna,Pearson,4,Daughter,NA,Female,Child,None,NA
42,Ford Throughway,Andrew,Pearson,1,Son,NA,Male,Child,None,NA
42,Ford Throughway,Billy,Shah,64,Lodger,Divorced,Male,Proofreader,None,Christian
43,Ford Throughway,Irene,Taylor,46,Head,Married,Female,Clinical psychologist,None,Christian
43,Ford Throughway,Scott,Taylor,46,Husband,Married,Male,"Editor, magazine features",None,Christian
43,Ford Throughway,Brandon,Taylor,16,Son,NA,Male,Student,None,NA
43,Ford Throughway,Gordon,Taylor,12,Son,NA,Male,Student,None,NA
43,Ford Throughway,Lynda,Fox-Taylor,3,Daughter,NA,Female,Child,None,NA
43,Ford Throughway,Carl,Fox-Taylor,3,Son,NA,Male,Child,None,NA
44,Ford Throughway,Geraldine,Vaughan,49,Head,Single,Female,Herbalist,None,Christian
44,Ford Throughway,Janice,Vaughan,15,Daughter,NA,Female,Student,None,NA
44,Ford Throughway,Harry,Vaughan,13,Son,NA,Male,Student,None,NA
44,Ford Throughway,Victor,Vaughan,8,Son,NA,Male,Student,None,NA
45,Ford Throughway,Rita,Little,43,Head,Single,Female,Regulatory affairs officer,None,Catholic
45,Ford Throughway,Victor,Little,14,Son,NA,Male,Student,None,NA
46,Ford Throughway,Frances,Jones,52,Head,Single,Female,Unemployed,None,Christian
46,Ford Throughway,Geoffrey,Jones,25,Adopted Son,Single,Male,"Copywriter, advertising",None,None
46,Ford Throughway,Brian,Jones,25,Son,Single,Male,"Geologist, wellsite",None,None
46,Ford Throughway,Pauline,Jones,23,Daughter,Single,Female,Technical sales engineer,None,Christian
47,Ford Throughway,Rita,Owen,48,Head,Single,Female,Risk analyst,None,Christian
47,Ford Throughway,Brian,Miller,51,Partner,Single,Male,Product/process development scientist,None,Christian
47,Ford Throughway,Ben,Owen,21,Son,Divorced,Male,Graphic designer,None,Christian
47,Ford Throughway,Samantha,Owen,18,Daughter,Divorced,Female,Student,None,Christian
47,Ford Throughway,Olivia,Owen,15,Daughter,NA,Female,Student,None,NA
48,Ford Throughway,Graham,Young,29,Head,Single,Male,"Engineer, agricultural",None,None
48,Ford Throughway,Jennifer,Mitchell,31,Partner,Single,Female,Unemployed,None,None
49,Ford Throughway,Clare,Burton,46,Head,Married,Female,Cartographer,None,None
49,Ford Throughway,William,Burton,50,Husband,Married,Male,"Psychologist, prison and probation services",None,None
49,Ford Throughway,Olivia,Burton,17,Daughter,NA,Female,Student,None,NA
49,Ford Throughway,Frances,Burton,13,Daughter,NA,Female,Student,None,NA
50,Ford Throughway,Tracy,McDonald,42,Head,Married,Female,Graphic designer,None,Catholic
50,Ford Throughway,Justin,McDonald,39,Husband,Married,Male,"Designer, television/film set",None,None
50,Ford Throughway,Sylvia,McDonald,6,Daughter,NA,Female,Student,None,NA
50,Ford Throughway,Carole,McDonald,4,Daughter,NA,Female,Child,None,NA
51,Ford Throughway,Maureen,Akhtar,18,Head,Single,Female,University Student,None,Muslim
51,Ford Throughway,Kayleigh,Day,18,None,Single,Female,University Student,None,Catholic
51,Ford Throughway,Ann,Newman,18,None,Single,Female,University Student,None,Methodist
51,Ford Throughway,Antony,Carroll,18,None,Single,Male,University Student,None,Methodist
52,Ford Throughway,Alice,McDonald,77,Head,Married,Female,Retired Industrial buyer,None,Christian
52,Ford Throughway,Barry,McDonald,79, ,Married,Male,Retired Ecologist,None,Christian
52,Ford Throughway,Elliot,McDonald,45,Son,Divorced,Male,"Programmer, applications",None,Christian
52,Ford Throughway,Joanna,McDonald,42,Daughter,Single,Female,Museum/gallery conservator,None,Christian
53,Ford Throughway,Nicola,Thomas,55,Head,Single,Female,"Producer, television/film/video",None,Catholic
53,Ford Throughway,Jack,Williams,53,Partner,Single,Male,"Psychologist, educational",None,Catholic
53,Ford Throughway,Rita,Thomas,23,Daughter,Single,Female,Corporate investment banker,None,Catholic
53,Ford Throughway,Jemma,Thomas,15,Daughter,NA,Female,Student,None,NA
54,Ford Throughway,Irene,Barber,50,Head,Married,Female,Leisure centre manager,None,None
54,Ford Throughway,Robert,Barber,54,Husband,Married,Male,Unemployed,None,None
54,Ford Throughway,Jenna,Barber,24,Daughter,Single,Female,Fast food restaurant manager,None,None
54,Ford Throughway,Mohammad,Archer-Barber,20,Son,Single,Male,University Student,None,None
1,Miller Turnpike,Joanne,Stevens,22,Head,Single,Female,University Student,None,None
1,Miller Turnpike,Clive,Howarth,20,None,Single,Male,University Student,None,Christian
1,Miller Turnpike,Derek,Mann,21,None,Single,Male,University Student,None,None
1,Miller Turnpike,Maria,Potter,20,None,Single,Female,University Student,None,None
2,Miller Turnpike,Alice,Smith,38,Head,Married,Female,Dealer,None,None
2,Miller Turnpike,Ronald,Smith,40,Husband,Married,Male,Personnel officer,None,None
2,Miller Turnpike,Katy,Smith,9,Daughter,NA,Female,Student,None,NA
3,Miller Turnpike,Danielle,Freeman,36,Head,Married,Female,Records manager,None,Christian
3,Miller Turnpike,Karl,Freeman-Shah,42,Husband,Married,Male,"Programmer, systems",None,Christian
3,Miller Turnpike,Geraldine,Freeman-Shah,18,Daughter,Single,Female,Student,None,Christian
4,Miller Turnpike,Jean,Bell,35,Head,Married,Female,Health service manager,None,None
4,Miller Turnpike,Patrick,Bell,37,Husband,Married,Male,Operational investment banker,None,None
4,Miller Turnpike,Eleanor,Bell,13,Daughter,NA,Female,Student,None,NA
5,Miller Turnpike,Judith,Flynn,54,Head,Married,Female,Ecologist,None,Christian
5,Miller Turnpike,Josh,Flynn,58,Husband,Married,Male,Agricultural consultant,None,Christian
5,Miller Turnpike,Ryan,Flynn,16,Son,NA,Male,Student,None,NA
6,Miller Turnpike,Jodie,Brown,33,Head,Single,Female,Unemployed,None,None
6,Miller Turnpike,Hannah,Brown,4,Daughter,NA,Female,Child,None,NA
6,Miller Turnpike,Joan,Brown,3,Daughter,NA,Female,Child,None,NA
6,Miller Turnpike,Katy,Brown,1,Daughter,NA,Female,Child,None,NA
