House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
22,Akhtar Pike,Natalie,O'Connor,61,Head,Divorced,Female,"Copywriter, advertising",None,Christian
23,Akhtar Pike,Hollie,Hamilton,56,Head,Married,Female,"Engineer, production",None,Methodist
23,Akhtar Pike,Clive,Hamilton,62,Husband,Married,Male,"Engineer, energy",None,Methodist
24,Akhtar Pike,William,Cartwright,62,Head,Single,Male,"Development worker, community",None,Christian
24,Akhtar Pike,Phillip,Graham,42,None,Single,Male,"Therapist, drama",None,None
25,Akhtar Pike,Geraldine,Stanley,70,Head,Divorced,Female,Retired Hydrologist,None,Christian
26,Akhtar Pike,Holly,Griffin,67,Head,Divorced,Female,Proofreader,None,Christian
27,Akhtar Pike,Kelly,Storey,26,Head,Married,Female,Maintenance engineer,None,Catholic
27,Akhtar Pike,Frank,Storey,23,Husband,Married,Male,Medical technical officer,None,None
27,Akhtar Pike,Helen,Storey,1,Daughter,NA,Female,Child,None,NA
28,Akhtar Pike,Charlotte,Taylor,68,Head,Widowed,Female,Retired Petroleum engineer,None,Christian
29,Akhtar Pike,Leah,Jarvis,60,Head,Single,Female,Trading standards officer,None,Christian
29,Akhtar Pike,Brandon,Hill,64,None,Single,Male,Senior tax professional/tax inspector,None,Christian
30,Akhtar Pike,Gillian,Slater,39,Head,Married,Female,Magazine journalist,None,Methodist
30,Akhtar Pike,Gary,Slater,40,Husband,Married,Male,"Librarian, public",None,Methodist
30,Akhtar Pike,Malcolm,Slater,10,Son,NA,Male,Student,None,NA
31,Akhtar Pike,Mathew,Harvey,56,Head,Divorced,Male,"Pharmacist, hospital",None,None
32,Akhtar Pike,Beverley,Baker,64,Head,Married,Female,"Runner, broadcasting/film/video",None,None
32,Akhtar Pike,Eric,Baker,66,Husband,Married,Male,Biomedical scientist,None,None
33,Akhtar Pike,Jason,Clarke,18,Head,Single,Male,Student,None,NA
34,Akhtar Pike,Abbie,Smith,45,Head,Married,Female,Soil scientist,None,Christian
34,Akhtar Pike,Gavin,Palmer,47,Husband,Married,Male,IT consultant,None,Christian
34,Akhtar Pike,Holly,Smith,9,Daughter,NA,Female,Student,None,NA
34,Akhtar Pike,Stephen,Smith,8,Son,NA,Male,Student,None,NA
35,Akhtar Pike,John,Cooper,53,Head,Single,Male,"Surveyor, building",None,Christian
36,Akhtar Pike,Stephanie,Brennan,47,Head,Married,Female,Surgeon,None,Muslim
36,Akhtar Pike,Conor,Brennan,50,Husband,Married,Male,Furniture conservator/restorer,None,Muslim
36,Akhtar Pike,Ross,Brennan,16,Son,NA,Male,Student,None,NA
36,Akhtar Pike,Thomas,Brennan,14,Son,NA,Male,Student,None,NA
37,Akhtar Pike,Mathew,Giles,58,Head,Single,Male,Energy engineer,None,Catholic
38,Akhtar Pike,Amber,Rowe,76,Head,Widowed,Female,Retired IT sales professional,None,Christian
39,Akhtar Pike,Barry,Kent,20,Head,Single,Male,University Student,None,None
39,Akhtar Pike,Leigh,Thomas,35,None,Single,Male,Publishing copy,None,Christian
39,Akhtar Pike,Timothy,Spencer,57,None,Single,Male,Unemployed,None,None
40,Akhtar Pike,Keith,Graham,27,Head,Divorced,Male,"Scientist, product/process development",None,Christian
41,Akhtar Pike,Brenda,Thompson,69,Head,Widowed,Female,Retired Trade union research officer,None,Christian
42,Akhtar Pike,Jodie,Wall,87,Head,Widowed,Female,"Retired Clinical scientist, histocompatibility and immunogenetics",None,Christian
43,Akhtar Pike,Sam,Flynn,18,Head,Single,Male,University Student,None,None
43,Akhtar Pike,Suzanne,Briggs,21,None,Single,Female,University Student,None,Christian
44,Akhtar Pike,Shirley,Wood,24,Head,Divorced,Female,"Engineer, structural",None,None
1,Ripon Divide,Tracy,Leach,44,Head,Single,Female,Unemployed,None,Christian
1,Ripon Divide,Joanna,Leach,13,Daughter,NA,Female,Student,None,NA
1,Ripon Divide,Amanda,Leach,10,Daughter,NA,Female,Student,None,NA
2,Ripon Divide,Abigail,Williams,69,Head,Widowed,Female,Retired Museum/gallery exhibitions officer,None,Christian
3,Ripon Divide,Irene,Edwards,31,Head,Married,Female,Interpreter,None,Catholic
3,Ripon Divide,Russell,Edwards,37,Husband,Married,Male,"Production assistant, radio",None,None
4,Ripon Divide,Carolyn,Bray,59,Head,Single,Female,Medical laboratory scientific officer,None,Christian
4,Ripon Divide,Jack,Akhtar,61,Partner,Single,Male,Industrial/product designer,None,None
4,Ripon Divide,Kathleen,Bray,18,Daughter,Single,Female,Student,None,Christian
4,Ripon Divide,Alice,Bray,17,Daughter,NA,Female,Student,None,NA
4,Ripon Divide,Sandra,Bray,16,Daughter,NA,Female,Student,None,NA
5,Ripon Divide,Ryan,Taylor,28,Head,Married,Male,"Solicitor, Scotland",None,None
5,Ripon Divide,Christine,Taylor-Ali,26,Wife,Married,Female,Unemployed,None,None
5,Ripon Divide,Yvonne,Taylor-Ali,1,Daughter,NA,Female,Child,None,NA
5,Ripon Divide,Aaron,Wright,52,Lodger,Divorced,Male,"Producer, television/film/video",None,Catholic
6,Ripon Divide,Valerie,Young,71,Head,Divorced,Female,Unemployed,None,None
6,Ripon Divide,Sian,Young,44,Daughter,Divorced,Female,"Surveyor, planning and development",None,None
6,Ripon Divide,Thomas,Young,43,Son,Single,Male,Education administrator,None,None
7,Ripon Divide,William,Wells,20,Head,Married,Male,"Development worker, international aid",None,None
7,Ripon Divide,Jemma,Wells,25,Wife,Married,Female,Colour technologist,None,None
8,Ripon Divide,Paige,Ross,55,Head,Married,Female,Unemployed,None,Christian
8,Ripon Divide,David,Ross,60,Husband,Married,M,"Editor, commissioning",None,None
8,Ripon Divide,Deborah,Ross,15,Daughter,NA,Female,Student,None,NA
8,Ripon Divide,Tom,Ross,11,Son,NA,Male,Student,None,NA
9,Ripon Divide,Lorraine,Jones,38,Head,Widowed,Fe-male,Unemployed,None,Methodist
9,Ripon Divide,Marc,Jones,14,Son,NA,Male,Student,None,NA
10,Ripon Divide,Charlotte,Smith,80,Head,Married,Female,"Retired Scientist, biomedical",None,Christian
10,Ripon Divide,Gavin,Smith,82,Husband,Married,Male,Retired Adult guidance worker,None,Christian
11,Ripon Divide,Holly,Benson,36,Head,Married,Female,Tourism officer,None,Christian
11,Ripon Divide,Edward,Benson,38,Husband,Married,Male,Press photographer,None,None
11,Ripon Divide,Owen,Curtis,26,Visitor,Single,Male,"Nurse, learning disability",None,None
12,Ripon Divide,Carole,Chapman,65,Head,Widowed,Female,TEFL teacher,None,Christian
13,Ripon Divide,Lesley,Parker,32,Head,Single,Female,"Psychotherapist, child",None,None
14,Ripon Divide,Lorraine,Powell,30,Head,Married,Female,Fine artist,None,Methodist
14,Ripon Divide,Marcus,Powell,40,Husband,Married,M,Unemployed,None,Methodist
15,Ripon Divide,Michelle,Jones,39,Head,Divorced,Female,Unemployed,None,Muslim
15,Ripon Divide,Alice,Jones,6,Daughter,NA,Female,Student,None,NA
16,Ripon Divide,Geoffrey,Cox,75,Head,Married,Male,Retired Best boy,None,Methodist
16,Ripon Divide,Kate,Cox,72,Wife,Married,Female,Retired Technical sales engineer,None,Methodist
17,Ripon Divide,Chloe,Leach,57,Head,Married,Female,Social worker,None,Christian
17,Ripon Divide,Alexander,Leach,63,Husband,Married,Male,Electrical engineer,None,Christian
17,Ripon Divide,Joshua,Leach,32,Son,Single,Male,Land,None,None
18,Ripon Divide,Irene,Page,64,Head,Single,Female,Unemployed,None,Christian
18,Ripon Divide,Jeffrey,Page,35,Son,Divorced,Male,Magazine features editor,None,None
19,Ripon Divide,Carly,Davies,53,Head,Married,Female,Academic librarian,None,None
19,Ripon Divide,Norman,Davies,51,Husband,Married,Male,Education administrator,None,None
19,Ripon Divide,Ronald,Davies,25,Son,Divorced,Male,"Surveyor, minerals",None,None
19,Ripon Divide,Mandy,Davies,21,Daughter,Single,Female,University Student,None,None
19,Ripon Divide,Reece,Davies,5,Son,NA,Male,Student,None,NA
20,Ripon Divide,Pamela,Parker,73,Head,Single,Female,"Retired Engineer, civil (consulting)",None,Methodist
21,Ripon Divide,Bethany,Horton,21,Head,Single,Female,Unemployed,None,Catholic
21,Ripon Divide,Edward,Ryan,57,Lodger,Single,Male,Midwife,None,Methodist
22,Ripon Divide,Mohamed,Jones,84,Head,Married,Male,"Retired Engineer, manufacturing systems",None,Methodist
22,Ripon Divide,Ellie,Jones,80,Wife,Married,Female,"Retired Engineer, electronics",None,None
23,Ripon Divide,Charles,Lawrence,29,Head,Single,Male,"Engineer, electrical",None,Sikh
24,Ripon Divide,Gareth,James,77,Head,Married,Male,"Retired Radiographer, diagnostic",None,Christian
24,Ripon Divide,Jasmine,James,75,Wife,Married,Female,Retired Orthoptist,None,None
25,Ripon Divide,Luke,Griffiths,41,Head,Single,Male,"Doctor, hospital",None,None
26,Ripon Divide,Natalie,Shaw,61,Head,Single,Female,Occupational psychologist,None,None
26,Ripon Divide,Katherine,Young,42,None,Single,Female,Agricultural consultant,None,None
26,Ripon Divide,Glen,Williams,44,None,Single,Male,"Surveyor, insurance",None,None
1,Lewis Harbor,Hilary,Knight,18,Head,Single,Female,Student,None,NA
2,Lewis Harbor,Allan,Holmes,68,Head,Widowed,Male,Retired Architectural technologist,None,None
3,Lewis Harbor,Gerard,Metcalfe,46,Head,Single,Male,"Engineer, aeronautical",None,Catholic
3,Lewis Harbor,Joseph,Lewis,49,None,Single,Male,Sales promotion account executive,None,None
3,Lewis Harbor,Stacey,Ball,42,None,Single,Female,Clinical embryologist,None,Christian
4,Lewis Harbor,Abdul,Finch,29,Head,Divorced,Male,"Engineer, civil (consulting)",None,None
5,Lewis Harbor,Alice,Bailey,72,Head,Married,Female,Retired Museum/gallery conservator,None,Christian
5,Lewis Harbor,Clifford,Bailey,69,Husband,Married,Male,Retired Air traffic controller,None,Christian
5,Lewis Harbor,Lydia,Bailey,130,Granddaughter,NA,Female,Student,None,NA
6,Lewis Harbor,Kathryn,Barrett,55,Head,Single,Female,Unemployed,None,Christian
6,Lewis Harbor,Stacey,Barrett,16,Adopted Daughter,NA,Female,Student,None,NA
6,Lewis Harbor,Lynda,Barrett,13.5,Daughter,NA,Female,Student,None,NA
6,Lewis Harbor,Norman,Hutchinson-Barrett,12,Son,NA,Male,Student,None,NA
6,Lewis Harbor,David,Hutchinson-Barrett,12,Son,NA,Male,Student,None,NA
7,Lewis Harbor,Max,Jones,26,Head,Married,Male,Tree surgeon,None,None
7,Lewis Harbor,Molly,Jones,24,Wife,Married,Female,Police officer,None,None
8,Lewis Harbor,Elaine,Pearson,43,Head,Single,Female,Structural engineer,None,Christian
8,Lewis Harbor,Katy,Pearson,7,Daughter,NA,Female,Student,None,NA
,Lewis Harbor,Debra,Alexander,19,Head,Single,Fe-male,University Student,None,None
9,Lewis Harbor,Terry,Ward,19,Partner,Single,Male,University Student,None,None
10,Lewis Harbor,Molly,Grant,48,Head,Married,Female,"Engineer, energy",None,None
10,Lewis Harbor,Jonathan,Grant,55,Husband,Married,Male,Art gallery manager,None,None
10,Lewis Harbor,Kathleen,Grant,14,Daughter,NA,Female,Student,None,NA
10,Lewis Harbor,William,Grant,13,Son,NA,Male,Student,None,NA
11,Lewis Harbor,Frances,Douglas,46,Head,Married,Female,Logistics and distribution manager,None,Catholic
11,Lewis Harbor,Kenneth,Douglas,46,Husband,Married,Male,Water engineer,None,Catholic
11,Lewis Harbor,Stacey,Douglas,14,Daughter,NA,Female,Student,None,NA
12,Lewis Harbor,Nicholas,Steele,87,Head,Married,Male,Retired Quantity surveyor,None,Christian
12,Lewis Harbor,Hazel,Steele,86,Wife,Married,Female,Retired Museum/gallery curator,None,None
13,Lewis Harbor,Kenneth,Green,48,Head,Single,Male,Gaffer,None,Christian
13,Lewis Harbor,Karen,Warren,42,Partner,Single,Female,Television floor manager,None,Christian
14,Lewis Harbor,Mary,Adams,30,Head,Married,Female,Marine scientist,None,Christian
14,Lewis Harbor,David,Adams,31,Husband,Married,Male,Newspaper journalist,None,Christian
14,Lewis Harbor,Marion,Adams,11,Daughter,NA,Female,Student,None,NA
14,Lewis Harbor,Kelly,Adams,9,Daughter,NA,Female,Student,None,NA
14,Lewis Harbor,Joanne,Adams,7,Daughter,NA,Female,Student,None,NA
15,Lewis Harbor,Karen,Marshall,52,Head,Single,Female,Community arts worker,None,Christian
15,Lewis Harbor,Owen,Marshall,20,Son,Divorced,Male,University Student,None,None
15,Lewis Harbor,Lynn,Marshall,17,Daughter,NA,Female,Student,None,NA
15,Lewis Harbor,Naomi,Marshall,14,Daughter,NA,Female,Student,None,NA
15,Lewis Harbor,Ryan,Harris,13,Son,NA,Male,Student,None,NA
16,Lewis Harbor,Linda,Watson,52,Head,Divorced,Female,Chartered loss adjuster, ,Christian
16,Lewis Harbor,Oliver,Robinson,29,Son,Divorced,Male,"Scientist, physiological",None,None
17,Lewis Harbor,,Hayley Brown,32,Head,Divorced,Female,Unemployed,None,None
17,Lewis Harbor,Leah,Brown,3,Daughter,NA,Female,Child,None,NA
17,Lewis Harbor,Kathryn,Brown,3,Daughter,NA,Female,Child,None,NA
18,Lewis Harbor,Lynn,Allen,61,Head,Single,Female,Mining engineer,None,Catholic
18,Lewis Harbor,Gregory,Birch,58,Partner,Single,Male,"Teacher, special educational needs",None,Catholic
19,Lewis Harbor,Joe,Hodgson,22,Head,Single,Male,University Student,None,Christian
19,Lewis Harbor,Duncan,Harris,19,None,Single,Male,University Student,None,None
20,Lewis Harbor,Ellie,Smith,24,Head,Single,Female,Unemployed,None,None
20,Lewis Harbor,Sharon,Smith,7,Daughter,NA,Female,Student,None,NA
20,Lewis Harbor,Mathew,Smith,1,Son,NA,Male,Child,None,NA
20,Lewis Harbor,Diane,Griffiths,37,Lodger,Single,Female,"Psychologist, occupational",None,Catholic
20,Lewis Harbor,Glen,Gallagher,36,Lodger,Single,Male,Amenity horticulturist,None,Christian
21,Lewis Harbor,Elliott,Jenkins,42,Head,Divorced,Male,Unemployed,None,None
21,Lewis Harbor,Frederick,Jenkins,8,Son,NA,Male,Student,None,NA
22,Lewis Harbor,Sandra,Edwards,54,Head,Married,Female,Ophthalmologist,None,Catholic
22,Lewis Harbor,Adrian,Edwards,56,Husband,Married,Male,"Investment banker, corporate",None,Catholic
23,Lewis Harbor,H.,Hartley,68,Head,Married,Female,Retired Museum/gallery curator,None,None
23,Lewis Harbor,T.,Hartley,70,Husband,Married,Male,Retired Make,None,None
23,Lewis Harbor,Donna,Hartley,43,Daughter,Single,Female,Historic buildings inspector/conservation officer,None,None
23,Lewis Harbor,Fiona,Hartley,40,Daughter,Single,Female,Network engineer,None,None
24,Lewis Harbor,Robert,Smith,44,Head,Married,Male,Early years teacher,None,None
24,Lewis Harbor,Gail,Smith,42,Wife,Married,Female,Surgeon,None,None
25,Lewis Harbor,Brenda,Lee,44,Head,Married,Female,"Designer, fashion/clothing",None,Catholic
25,Lewis Harbor,Owen,Lee,47,Husband,Married,Male,Passenger transport manager,None,Catholic
25,Lewis Harbor,Rachael,Lee,9,Daughter,NA,Female,Student,None,NA
25,Lewis Harbor,Lawrence,Lee,9,Son,NA,Male,Student,None,NA
26,Lewis Harbor,Andrew,Moran,57,Head,Single,Male,Hydrogeologist,None,Christian
26,Lewis Harbor,Aimee,Powell,52,Partner,Single,Female,"Civil engineer, consulting",None,Christian
27,Lewis Harbor,Kathleen,Potter,48,Head,Married,Female,Chartered management accountant,None,Catholic
27,Lewis Harbor,Kevin,Potter,53,Husband,Married,Male,"Engineer, electronics",None,None
28,Lewis Harbor,Jade,Chambers,32,Head,Married,Female,Health service manager,None,None
28,Lewis Harbor,Victor,Chambers,30,Husband,Married,Male,Health and safety adviser,None,None
29,Lewis Harbor,Elliott,Barker,32,Head,Single,Male,Multimedia specialist,None,None
10,Lewis Harbor,Louis,Boyle,37,Head,Divorced,Male,IT sales professional,None,None
31,Lewis Harbor,Alex,Evans,67,Head,Married,Male,Facilities manager,None,Methodist
31,Lewis Harbor,Kathleen,Evans,68,Wife,Married,Female,Retired Bookseller,None,None
32,Lewis Harbor,Anna,Potter,49,Head,Married,Female,Health and safety adviser,None,Christian
32,Lewis Harbor,Hugh,Potter,54,Husband,Married,Male,"Psychologist, clinical",None,Christian
32,Lewis Harbor,Michelle,Potter,17,Daughter,NA,Fe-male,Student,None,NA
33,Lewis Harbor,Kelly,Walton,66,Head,Married,Female,Hydrologist,None,Catholic
33,Lewis Harbor,Robert,Walton,65,Husband,Married,Male,Insurance account manager,None,Catholic
33,Lewis Harbor,Robert,Walton,31,Son,Single,Male,Travel agency manager,None,Catholic
33,Lewis Harbor,Conor,Walton,28,Son,Single,Male,"Journalist, magazine",None,None
33,Lewis Harbor,Conor,Walton,28,Son,Single,Male,"Therapist, occupational",None,Catholic
34,Lewis Harbor,Joanne,Jones,30,Head,Single,Female,Unemployed,None,None
34,Lewis Harbor,Lauren,Jones,13,Daughter,NA,Female,Student,None,NA
35,Lewis Harbor,Dylan,Williams,66,Head,Married,Male,"Engineer, manufacturing systems",None,Christian
35,Lewis Harbor,Hollie,Williams,69,Wife,Married,Female,Retired Statistician,None,Christian
35,Lewis Harbor,Stanley,Williams,12,Grandson,NA,Male,Student,None,NA
35,Lewis Harbor,Janice,Williams,11,Granddaughter,NA,Female,Student,None,NA
35,Lewis Harbor,Hannah,Cole,8,Granddaughter,NA,Female,Student,None,NA
36,Lewis Harbor,Deborah,Johnson,74,Head,Widowed,Female,Retired Logistics and distribution manager,None,Catholic
37,Lewis Harbor,Ronald,Morley,68,Head,Married,Male,Unemployed,None,None
37,Lewis Harbor,Emily,Morley,68,Wife,Married,Female,Retired Research scientist (medical),None,None
37,Lewis Harbor,Peter,Morley,31,Son,Single,Male,Product/process development scientist,None,None
37,Lewis Harbor,Karl,Morley,31,Son,Single,Male,Broadcast presenter,None,None
37,Lewis Harbor,Tina,Morley,31,Daughter,Divorced,Female,Youth worker,None,None
38,Lewis Harbor,Leslie,Matthews,41,Head,Single,Male,Financial planner,None,Catholic
38,Lewis Harbor,Katy,Fisher,35,None,Single,Female,"Solicitor, Scotland",None,None
38,Lewis Harbor,Julie,Gardiner,33,None,Single,Female,"Development worker, international aid",None,None
38,Lewis Harbor,Kevin,Williams,43,None,Single,Male,Regulatory affairs officer,None,Catholic
39,Lewis Harbor,Tracey,Clark,57,Head,Single,Female,Pharmacologist,None,Christian
40,Lewis Harbor,Natasha,Lewis,34,Head,Single,Female,Unemployed,None,Catholic
40,Lewis Harbor,Stacey,Lewis,15,Daughter,NA,Female,Student,None,NA
40,Lewis Harbor,Jill,Lewis,11,Daughter,NA,Female,Student,None,NA
41,Lewis Harbor,Joel,Miller,55,Head,Married,Male,"Teacher, adult education",None,Catholic
41,Lewis Harbor,Anne,Miller,53,Wife,Married,Fe-male,"Surveyor, hydrographic",None,Catholic
41,Lewis Harbor,Sally,Miller,25,Daughter,Single,Female,Fitness centre manager,None,None
41,Lewis Harbor,Kathryn,Miller,13,Daughter,NA,Female,Student,None,NA
42,Lewis Harbor,Benjamin,Fisher,69,Head,Married,Male,Retired Retail manager,None,Christian
42,Lewis Harbor,Beverley,Fisher,67,Wife,Married,Female,Call centre manager,None,Christian
43,Lewis Harbor,Russell,Lawrence,45,Head,Single,Male,"Engineer, building services",None,Christian
43,Lewis Harbor,Hollie,Rhodes,43,Partner,Single,Female,"Surveyor, mining",None,None
44,Lewis Harbor,Nicole,Burton,26,Head,Married,Female,Financial risk analyst,None,None
44,Lewis Harbor,Richard,Burton,27,Husband,Married,Male,Product designer,None,None
45,Lewis Harbor,Michelle,Turner,54,Head,Married,Female,Retail buyer,None,Methodist
45,Lewis Harbor,Tom,Turner,52,Husband,Married,Male,Advertising account planner,None,Methodist
45,Lewis Harbor,Hugh,Turner,29,Son,Divorced,Male,Dancer,None,Methodist
46,Lewis Harbor,Joanne,Cooke,59,Head,Married,Female,Further education lecturer,None,None
46,Lewis Harbor,Mark,Cooke,56,Husband,Married,Male,Psychotherapist,None,None
47,Lewis Harbor,Bernard,Graham-Mill,39,Head,Married,Male,Health visitor,None,None
47,Lewis Harbor,Rosie,Graham-Mill,40,Wife,Married,Female,Diplomatic Services operational officer,None,None
47,Lewis Harbor,Ronald,Graham-Mill,18,Son,Single,Male,Student,None,None
47,Lewis Harbor,Elizabeth,Graham Mill,13,Daughter,NA,Female,Student,None,NA
47,Lewis Harbor,Peter,Graham-Mill,11,Son,NA,Male,Student,None,NA
48,Lewis Harbor,Cheryl,Chamberlain,63,Head,Divorced,Female,Unemployed,None,Christian
48,Lewis Harbor,Edward,Chamberlain,39,Son,Single,Male,Quarry manager,None,Christian
48,Lewis Harbor,Amanda,Chamberlain,38,Daughter,Single,Female,Historic buildings inspector/conservation officer,None,Christian
49,Lewis Harbor,Paul,Jones,24,Head,Married,Male,Ambulance person,None,Catholic
49,Lewis Harbor,Anne,Jones,22,Wife,Married,Female,University Student,None,Catholic
49,Lewis Harbor,Debra,Jones,6,Daughter,NA,Female,Student,None,NA
49,Lewis Harbor,Maria,Jones,2,Daughter,NA,Female,Child,None,NA
50,Lewis Harbor,Alexander,Holloway,43,Head,Single,Male,Unemployed,None,Catholic
50,Lewis Harbor,Mark,Bailey,14,Nephew,NA,Male,Student,None,NA
51,Lewis Harbor,Shaun,Williams,27,Head,Single,Male,PhD Student,None,None
51,Lewis Harbor,Malcolm,Bell,18,None,Single,Male,University Student,None,None
51,Lewis Harbor,Dale,Elliott,20,None,Single,Male,University Student,None,Christian
51,Lewis Harbor,Raymond,Bibi,21,None,Single,Male,University Student,None,Christian
52,Lewis Harbor,Jacqueline,Taylor,72,Head,Married,Female,Retired Operational researcher,None,Christian
52,Lewis Harbor,Graeme,Taylor,74,Husband,Married,Male,Retired Music tutor,None,None
53,Lewis Harbor,Ashley,Robinson,40,Head,Single,Male,Textile designer,None,Christian
53,Lewis Harbor,Cheryl,Davies,36,Partner,Single,Female,Geographical information systems officer,None,Christian
54,Lewis Harbor,Dorothy,Mills,37,Head,Married,Female,Camera operator,Physical Disability,Catholic
54,Lewis Harbor,Clifford,Mills,36,Husband,Married,Male,"Solicitor, Scotland",None,Catholic
55,Lewis Harbor,Keith,Akhtar,33,Head,Married,Male,Race relations officer,None,None
55,Lewis Harbor,Geraldine,Akhtar,33,Wife,Married,Fe-male,Recycling officer,None,None
56,Lewis Harbor,Billy-Joe,Smith,38,Head,Single,Male,Mechanical engineer,None,None
57,Lewis Harbor,Lucy,Smith,48,Head,Married,Female,Higher education careers adviser,None,Christian
57,Lewis Harbor,Neil,Smith,49,Husband,Married,Male,Architectural technologist,None,Christian
57,Lewis Harbor,Katie,Smith,23,Daughter,Divorced,Female,Interior and spatial designer,None,Christian
57,Lewis Harbor,Eric,Wilkinson,19,Son,Single,Male,University Student,None,None
57,Lewis Harbor,Robert,Wilkinson,15,Son,NA,Male,Student,None,NA
58,Lewis Harbor,Wendy,Jones,68,Head,Married,Female,Retired Exhibition designer,None,None
58,Lewis Harbor,Wayne,Jones,71,Husband,Married,Male,Retired Quantity surveyor,None,None
59,Lewis Harbor,Rachael,Clayton,42,Head,Married,Female,Public relations officer,None,Christian
59,Lewis Harbor,Lee,Clayton,48,Husband,Married,Male,Geoscientist,None,Christian
59,Lewis Harbor,Paige,Clayton,11,Daughter,NA,Female,Student,None,NA
60,Lewis Harbor,Patricia,Bailey,72,Head,Widowed,Female,Unemployed,None,None
60,Lewis Harbor,Joe,Bailey,38,Son,Single,Male,Catering manager,None,None
60,Lewis Harbor,Joan,Bailey,33,Daughter,Single,Female,"Scientist, audiological",None,None
60,Lewis Harbor,Glenn,Bailey,31,Son,Single,Male,Unemployed,None,None
60,Lewis Harbor,Glen,Bailey,26,Son,Single,Male,Leisure centre manager,None,None
61,Lewis Harbor,Karen,Hayes,57,Head,Single,Female,Waste management officer,None,Christian
62,Lewis Harbor,Marilyn,Thomas,39,Head,Married,Female,Ceramics designer,None,Catholic
62,Lewis Harbor,Guy,Thomas,43,Husband,Married,Male,Printmaker,None,Catholic
63,Lewis Harbor,Paul,Robinson,30,Head,Married,Male,Community pharmacist,None,Christian
63,Lewis Harbor,Janet,Robinson,30,Wife,Married,Female,"Education officer, museum",None,Christian
64,Lewis Harbor,Jasmine,Thomas,37,Head,Divorced,Female,Orthoptist,None,None
64,Lewis Harbor,Bruce,Thomas,5,Son,NA,Male,Student,None,NA
